,Unnamed: 0.1,Unnamed: 0,Subject,Session,Block,CorrectResponse,event,finalRT,firstACC,firstRESP,measured_RT,TrialType,PCode,TripC,TT,epoch,choice,spatial_distance,direction_right,tworep,t_0,repetition,error,posterror,high_triplet,trigram,event_t0,event_t-1,event_t-2,error_type,pattern error,correct response repetition,incorrect response repetition,other error,recency error,distance_from_last_unigram,distance_from_last_trigram,event_bigram,event_trigram,choice_t-1,choice_t-2,choice_bigram,choice_trigram,e_to_e_distance_from_last_unigram,e_to_e_distance_from_last_bigram,e_to_e_distance_from_last_trigram,e_to_c_distance_from_last_unigram,e_to_c_distance_from_last_bigram,e_to_c_distance_from_last_trigram,c_to_e_distance_from_last_unigram,c_to_e_distance_from_last_bigram,c_to_e_distance_from_last_trigram,c_to_c_distance_from_last_unigram,c_to_c_distance_from_last_bigram,c_to_c_distance_from_last_trigram,high_triplet_choice,new_high_triplet_choice,HCRP_choice,HCRP_pred_prob,HCRP_pred_prob_1,HCRP_pred_prob_2,HCRP_pred_prob_3,HCRP_pred_prob_4,HCRP_context_importance_0,HCRP_context_importance_1,HCRP_context_importance_2,HCRP_context_importance_3,HCRP_seat_odds_0,HCRP_seat_odds_1,HCRP_seat_odds_2,HCRP_seat_odds_3,triplet_pred_prob,new_triplet_pred_prob,distance,HCRP,intercept_component,distance_component,repetition_component,error_component,posterror_component,HCRP_component,low-level + HCRP,triplet,low-level + triplet,new_triplet,low-level + new_triplet,train_mask,test_mask,trigram_choice,HCRP_error_type,trigram_error_type,choice pattern error,choice correct response repetition,choice incorrect response repetition,choice other error,HCRP_choice pattern error,HCRP_choice correct response repetition,HCRP_choice incorrect response repetition,HCRP_choice other error,trigram_choice pattern error
10,14885,14885,101,12,1,c,2,260,1,c,260,P,5,442,H,1,2,2,0,0,2.0,0,0,0,1,442.0,2.0,4.0,4.0,,,,,,,7.0,,42,442,4.0,4.0,42,442,7.0,,,7.0,,,7.0,,,7.0,,,1.0,,4.0,0.2238961892508849,0.2428782348962901,0.2238961892508849,0.2221152946078949,0.3111102812449301,0.0035334477150744,0.0004487567876933,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,310.5551816958278,303.64044323502674,209.1460929203135,38.27562823789974,0.0,-0.0,0.0,71.54769107575592,318.96941223396914,290.1899441340782,306.2072811595521,,,True,False,2.0,,,,,,,,,,,
11,14886,14886,101,12,1,b,3,299,1,b,299,R,5,423,L,1,3,1,1,0,3.0,0,0,0,0,423.0,3.0,2.0,4.0,,,,,,,10.0,,23,423,2.0,4.0,23,423,10.0,,,10.0,,,10.0,,,10.0,,,0.0,,4.0,0.2284543577335205,0.2331419897068052,0.2617035242056492,0.2284543577335205,0.2767001283540249,0.0004268717424029,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,291.11497206248214,302.3566631825593,209.1460929203135,19.13781411894987,0.0,-0.0,0.0,70.58417773521525,298.8680847744786,305.7066666666667,308.6748561160543,,,True,False,2.0,,,,,,,,,,,
12,14887,14887,101,12,1,b,3,272,1,b,272,P,5,233,H,1,3,0,1,0,3.0,1,0,0,1,233.0,3.0,3.0,2.0,,,,,,,1.0,,33,233,3.0,2.0,33,233,1.0,11.0,,1.0,11.0,,1.0,11.0,,1.0,11.0,,1.0,,2.0,0.2555780681827951,0.23024323874543,0.2571884502948134,0.2555780681827951,0.2569902427769615,0.0003797718111435,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,271.67476242913654,295.2102106364071,209.1460929203135,0.0,2.169061400303008,-0.0,0.0,65.22056240833403,276.53571672895055,290.1899441340782,267.5940624398454,,,True,False,3.0,,,,,,,,,,,
13,14888,14888,101,12,1,c,2,358,0,z,270,R,5,332,L,1,1,2,0,0,2.0,0,1,0,0,332.0,2.0,3.0,3.0,,1.0,0.0,0.0,0.0,0.0,3.0,11.0,32,332,3.0,3.0,31,331,3.0,11.0,11.0,7.0,,,3.0,,,7.0,11.0,11.0,1.0,,3.0,0.219638130364125,0.219638130364125,0.2583437062668153,0.2776817360914254,0.2443364272776342,0.0016583552566549,0.0002787893741186,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,310.5551816958278,304.8635333193204,209.1460929203135,38.27562823789974,0.0,-31.502945202220378,0.0,72.46565487386525,288.3844308298581,290.1899441340782,268.70667592938184,,,True,False,1.0,,,,,,,,,,,
14,14889,14889,101,12,1,z,1,272,1,z,272,P,5,321,H,1,1,1,0,0,1.0,0,0,1,1,321.0,1.0,2.0,3.0,,,,,,,8.0,,21,321,1.0,3.0,11,311,8.0,,,8.0,8.0,,1.0,,,1.0,8.0,,1.0,,2.0,0.213615695426695,0.213615695426695,0.2802124969897676,0.2559309139212368,0.2502408936623008,0.0015190264195888,0.001018147932458,0.0002490947867593,0.0,1.0,1.0,1.0,1.0,0.625,,291.11497206248214,306.63453247486893,209.1460929203135,19.13781411894987,0.0,-0.0,5.131161649113748,73.79483997000199,307.2099086583791,290.1899441340782,294.45441195527707,,,True,False,1.0,,,,,,,,,,,
15,14890,14890,101,12,1,m,4,318,0,z,206,R,5,214,L,1,1,0,1,0,4.0,1,1,0,0,214.0,4.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,6.0,,14,214,1.0,1.0,11,111,6.0,8.0,,1.0,9.0,,6.0,8.0,,1.0,1.0,,0.0,,4.0,0.250319183656475,0.250319183656475,0.246470456619901,0.2449636849859622,0.2582466747376618,0.000447395213499,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,271.67476242913654,296.5345754321967,209.1460929203135,0.0,2.169061400303008,-31.502945202220378,0.0,66.21453574982124,246.02674486821732,305.7066666666667,251.34737690448287,,,True,False,3.0,4.0,0.0,False,False,False,True,False,False,False,True,True
16,14891,14891,101,12,1,m,4,210,1,m,210,P,5,144,H,1,4,0,1,0,4.0,1,0,1,1,144.0,4.0,4.0,1.0,,,,,,,1.0,8.0,44,144,1.0,1.0,14,114,1.0,7.0,8.0,1.0,1.0,9.0,7.0,7.0,8.0,7.0,9.0,9.0,1.0,,4.0,0.2880628313147239,0.2347191007818837,0.2470273726321006,0.2301906952712917,0.2880628313147239,0.0019060366962555,0.000299033477206,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,271.67476242913654,287.5886143081807,209.1460929203135,0.0,2.169061400303008,-0.0,5.131161649113748,59.50033819675832,275.94665416648854,290.1899441340782,274.62753797387586,,,True,False,4.0,,,,,,,,,,,
17,14892,14892,101,12,1,z,1,323,0,c,283,R,5,441,L,1,2,2,0,0,1.0,0,1,0,0,441.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,41,441,4.0,1.0,42,142,3.0,12.0,,4.0,7.0,,2.0,12.0,,7.0,7.0,,1.0,,4.0,0.2468119123760564,0.2202358500972221,0.2468119123760564,0.2160057122612341,0.3169465252654872,0.0053620797025926,0.000956225117006,0.0002603024295891,0.0,1.0,1.0,1.0,1.0,0.625,,310.5551816958278,297.43338213897766,209.1460929203135,38.27562823789974,0.0,-31.502945202220378,0.0,66.88911567563213,282.807891631625,290.1899441340782,268.70667592938184,,,True,False,2.0,2.0,0.0,True,False,False,False,False,True,False,False,True
18,14893,14893,101,12,1,c,2,295,1,c,295,P,5,412,H,1,2,1,1,0,2.0,0,0,1,1,412.0,2.0,1.0,4.0,,,,,,,5.0,,12,412,2.0,4.0,22,422,5.0,,,5.0,15.0,,1.0,15.0,,1.0,,,1.0,,4.0,0.229086720924671,0.2577778079507787,0.229086720924671,0.2278056758777114,0.2853297952468387,0.0015077814494583,0.0002597600225753,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,291.11497206248214,302.18058828815936,209.1460929203135,19.13781411894987,0.0,-0.0,5.131161649113748,70.45202853305047,303.8670972214276,290.1899441340782,294.45441195527707,,,True,False,2.0,,,,,,,,,,,
19,14894,14894,101,12,1,c,2,252,1,c,252,R,5,122,L,1,2,0,1,0,2.0,1,0,0,0,122.0,2.0,2.0,1.0,,,,,,,1.0,,22,122,2.0,2.0,22,222,1.0,16.0,,1.0,16.0,,1.0,1.0,,1.0,1.0,,0.0,,4.0,0.2522702395189707,0.2455664488420465,0.2522702395189707,0.2398651594209921,0.2622981522179905,6.198241438449868e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,271.67476242913654,296.04001517853465,209.1460929203135,0.0,2.169061400303008,-0.0,0.0,65.84335425250116,277.1585085731177,305.7066666666667,288.8479821346531,,,True,False,4.0,,,,,,,,,,,
