,subject,iteration,session,offline_dist,best_strength_1,best_strength_2,best_strength_3,best_strength_4,best_decayconstant_1,best_decayconstant_2,best_decayconstant_3,best_decayconstant_4,intercept,spatial_distance_coef,repetition_coef,error_coef,posterror_coef,prob_coef,NLL
0,101,0,1,0,27.4406797082312,27.4406797082312,27.4406797082312,27.4406797082312,57.49995994342114,57.49995994342114,57.49995994342114,57.49995994342114,441.237819564151,3.755120207322483,-4.893035554731745,-63.48337262360502,69.10428024393478,1.8959504080065024,-567.9842198614938
1,101,0,2,0,34.21143671261185,34.21143671261185,34.21143671261185,34.21143671261185,75.82733885617002,75.82733885617002,75.82733885617002,75.82733885617002,302.4315738158477,13.795089440594133,-20.562810215111234,-65.75223654091513,41.69757362165923,76.42911927119427,-612.6639196587361
2,101,0,3,0,35.223075368143526,35.223075368143526,35.223075368143526,35.223075368143526,72.60853514961005,72.60853514961005,72.60853514961005,72.60853514961005,288.2607269186576,24.367128181685853,-15.983515463447528,-55.35379585088693,13.489312131627166,65.7006356764988,-589.1829419853782
3,101,0,4,0,47.07668105620038,47.07668105620038,47.07668105620038,47.07668105620038,1.1744232814653253,1.1744232814653253,1.1744232814653253,1.1744232814653253,-310.21521988956147,31.688442812367924,32.072904660135805,-38.68935556818893,32.45609684822769,469.5077699354912,-623.20813755773
4,101,0,5,0,37.39901115072704,37.39901115072704,37.39901115072704,37.39901115072704,77.07222555742263,77.07222555742263,77.07222555742263,77.07222555742263,287.1835456571844,29.700070198887325,-16.452635802190358,-62.1097780417828,32.01334994180417,44.65283666769694,-652.7043323630712
5,101,0,6,0,23.568881336058556,23.568881336058556,23.568881336058556,23.568881336058556,18.15624236336564,18.15624236336564,18.15624236336564,18.15624236336564,267.0129397429845,24.225889299623255,-4.187982401045897,-41.538650999725725,22.013829233666087,45.98500653654363,-3692.4607029675535
6,101,0,7,0,8.786147321497605,8.786147321497605,8.786147321497605,8.786147321497605,63.52264942975715,63.52264942975715,63.52264942975715,63.52264942975715,297.85804861470086,23.046950129137848,-0.2422808008589672,-24.94593895218628,18.176792465930134,13.317210425651515,-3969.860644528825
7,101,0,8,0,32.00973192466336,32.00973192466336,32.00973192466336,32.00973192466336,44.30313891514828,44.30313891514828,44.30313891514828,44.30313891514828,217.49573231342896,26.30356137931993,15.764122203246105,-24.971435667301144,9.16518967528354,49.65198789418662,-3923.812008751724
8,101,0,9,0,41.81905727094651,41.81905727094651,41.81905727094651,41.81905727094651,1.9304768326635084,1.9304768326635084,1.9304768326635084,1.9304768326635084,427.3531389194325,24.47155497293056,1.6029027797467856,-36.87471888100847,2.6644173897596253,-98.32564453988743,-3782.7202348151127
9,101,0,10,0,24.04249939502518,24.04249939502518,24.04249939502518,24.04249939502518,9.884831271725142,9.884831271725142,9.884831271725142,9.884831271725142,242.8925109763395,16.190212451892567,4.61745470319338,-33.9373662591403,1.4231956290537655,29.95493092659882,-3806.2297700804247
10,101,0,11,0,25.59293569297526,25.59293569297526,25.59293569297526,25.59293569297526,14.75461985144772,14.75461985144772,14.75461985144772,14.75461985144772,226.0321443942713,20.565169434541264,3.893715773293596,-23.894537959717752,1.1260414491822497,37.40939798549751,-3964.8543894812
